Topic: /uuv0/pipeline_distance_from_mapping | Type: uuv_gazebo_ros_plugins_msgs/FloatStamped
Topic: /vu_sss/waterfall_gt_l | Type: sensor_msgs/Image
Topic: /initialpose | Type: geometry_msgs/PoseWithCovarianceStamped
Topic: /uuv0/pipeline_map | Type: nav_msgs/OccupancyGrid
Topic: /uuv0/bb_geofence | Type: std_msgs/Bool
Topic: /uuv0/pipeline_heading_from_mapping | Type: uuv_gazebo_ros_plugins_msgs/FloatStamped
Topic: /goal | Type: geometry_msgs/PoseStamped
Topic: /kinect/color/camera_info | Type: sensor_msgs/CameraInfo
Topic: /uuv0/doppler_velocity | Type: std_msgs/Float32
Topic: /uuv0/bb_pipe_lost | Type: std_msgs/Bool
Topic: /gazebo/link_states | Type: gazebo_msgs/LinkStates
Topic: /uuv0/speed | Type: std_msgs/Float32
Topic: /uuv0/xtrack_error | Type: std_msgs/Float64
Topic: /fdr0/marker | Type: visualization_msgs/Marker
Topic: /clock | Type: rosgraph_msgs/Clock
Topic: /uuv0/fdr_pos_est | Type: geometry_msgs/Point
Topic: /uuv0/home_position | Type: vandy_bluerov/LatLonDepth
